"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
504,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2001901000,"08",33,"KG",2100,3220.34,2100,6382.5,14960388.53,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2002900000,"08",33,"KG",6400,9814.35,6400,8593.75,20143492.19,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2008920000,"08",33,"KG",360,552.06,360,475,1113385.75,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2008999000,"08",33,"KG",129.6,198.74,129.6,225,527393.25,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2103200000,"08",33,"KG",1732,2656.01,1732,1890,4430103.3,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2209000000,"08",61,"L",833,1277.4,833,323.75,758860.29,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201100000,"08",33,"KG",8685,8737.52,8685,16067.25,37873407.04,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201200000,"08",33,"KG",148,148.89,148,269.36,635216.33,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201300090,"08",33,"KG",19435,19615.36,19435,27836.79,65774019.46,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,204210000,"08",33,"KG",8965,9019.51,8965,20171.25,47580255.12,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,206100000,"08",33,"KG",1880,1891.72,1880,940,2224496.8,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,1101000000,"08",33,"KG",40000,40640,40000,12800,29904000,0,3400,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,3925900000,"08",11,"U",30,123,123,300,709794,0,90.53,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,6811100000,"08",82,"M2",4754.56,78494,78494,17548,41518217.04,0,5295.61,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,6811900000,"08",33,"KG",1932,1932,1932,1156,2735072.88,0,348.86,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"472",1,"198",1,8,1,6802210000,"08",82,"M2",496.18,13358.33,13320.73,5406.44,12791528.91,3838,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"472",1,"198",1,8,1,6802230000,"08",82,"M2",95.59,1921.68,1916.27,5707.9,13504777.25,3424,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"472",1,"002",2,8,2,3214900000,"08",33,"KG",25,25.29,25,9,21293.82,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"472",1,"002",2,8,2,6802210000,"08",82,"M2",7.27,404.6,400,50,118299,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"472",1,"002",2,8,2,7019590010,"08",33,"KG",10,10.11,10,5,11829.9,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,1,6802210000,"08",82,"M2",517.76,15811.7,15442.55,11962.72,27947904.6,7527,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,1,6802230000,"08",82,"M2",90.26,2728.3,2664.6,2527.28,5904357.9,758,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201100000,"08",33,"KG",9394,9449.73,9394,17378.9,40711551.59,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201200000,"08",33,"KG",180,181.06,180,327.6,767328.38,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201300090,"08",33,"KG",12814,12887.09,12814,18262.17,42715578.98,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,204210000,"08",33,"KG",9900,9958.31,9900,22275,52174113.75,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,206100000,"08",33,"KG",1875,1886.8,1875,937.5,2198703.13,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,6804210000,"08",11,"U",8,60.68,55.4,382.4,896949.6,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,6805100000,"08",33,"KG",2,2.27,2,36.5,85273.13,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,1,3924900000,"11",11,"U",4200,1200,1044,3361.59,7946664.3,3233.14,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,1,9603909000,"11",11,"U",14730,6127,5395,13416.72,31716589.41,11100.09,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3307490000,"11",33,"KG",482,491.48,482,2376,5616768.96,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3401110000,"11",33,"KG",490,490,490,1152.35,2724109.31,0,0,0,0
