"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4421909000,"25",11,"U",190,520.6,494.57,475,1126590.75,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811100000,"08",82,"M2",23782,289406,289406,64845,154963338.8,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811900000,"08",33,"KG",5940.9,5940.9,5940.9,3547.3,8477160.18,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6904100000,"25",13,"MIL",8.39,15109.11,14353.55,1259.1,2986295.61,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6913900000,"08",11,"U",8,150,150,426,1010374.02,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,7606929000,"08",33,"KG",20,20,20,84,199228.68,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,8302490000,"08",11,"U",50,600,600,50,118588.5,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9401690000,"08",11,"U",20,350,350,400,948708,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9401690000,"25",11,"U",4,44,41.8,400,948708,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403400000,"25",11,"U",9,1008.01,957.6,2016,4781488.32,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403500000,"08",11,"U",4,25,25,245,581083.65,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403600000,"08",11,"U",4,2105,2105,1129,2677728.33,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403600000,"25",11,"U",1,68,64.6,392,929733.84,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9506620000,"08",11,"U",25,150,150,225,533648.25,0,0,0,0
501,"02",47,"ANT",2,"BAQ","17",1,"043",1,"198",1,8,1,6811100000,"17",82,"M2",8440.39,100159.56,98679,21377,50701327.29,17223.34,0,0,0
501,"02",47,"ANT",2,"BAQ","17",1,"043",1,"198",1,8,1,6811900000,"17",33,"KG",1296,1315.44,1296,762,1807288.74,708.66,0,0,0
501,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,4409101000,"25",67,"M3",0.2,2731,2594.45,1828,4332506.24,0,0,0,0
501,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,4822900000,"25",33,"KG",2324.65,2447,2324.65,2160.3,5120083.82,0,0,0,0
501,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,6904100000,"25",13,"MIL",9.6,17280,16416,1440,3412915.2,0,0,0,0
501,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,7006000000,"25",33,"KG",4.75,5,4.75,17,40291.36,0,0,0,0
501,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,9403400000,"25",11,"U",18,1632,1550.4,5712,13537896.96,0,0,0,0
501,"02",47,"ANT",2,"BAQ","47",1,"043",1,"198",1,8,2,604990000,"47",33,"KG",1039,1039,1039,1048.8,2487512.38,0,0,0,0
501,"02",47,"ANT",2,"BAQ","68",1,"047",1,"198",1,8,2,2517100000,"68",33,"KG",1000,1016.28,1000,77,182496.16,0,0,0,0
501,"02",47,"ANT",2,"BAQ","68",1,"047",1,"198",1,8,2,4409102000,"68",67,"M3",201.4,38618.6,38000,50726,120224678.1,0,0,0,0
501,"02",47,"ANT",2,"BAQ","68",1,"047",1,"198",1,8,2,6904100000,"68",13,"MIL",6.06,4065.12,4000,5500,13035440,0,0,0,0
501,"02",63,"ARG",3,"BOG","08",4,"169",1,"198",1,2,1,9602001000,"08",33,"KG",153,232,153,6186.94,14546918.94,5797.16,1230,0,0
501,"02",63,"ARG",6,"CTG","08",1,"434",1,"198",1,2,1,9018312000,"08",11,"U",856600,6291.59,4585.39,24338.8,57776903.77,10141,0,0,0
501,"02",63,"ARG",6,"CTG","08",1,"434",1,"198",1,2,1,9018320000,"08",13,"MIL",799.2,172.29,125.57,8176.8,19410578.45,3395,0,0,0
501,"02",63,"ARG",6,"CTG","08",1,"434",1,"198",1,2,1,9018390000,"08",11,"U",15400,105.65,77,3311,7859850.46,3151,0,0,0
501,"02",81,"BGD",2,"BAQ","08",1,"043",1,"198",1,8,1,2530900000,"08",33,"KG",21000,21500,21000,5040,12044340,5002.55,1760,0,0
501,"02",83,"BRB",2,"BAQ","08",1,"573",1,"198",1,8,2,3105300000,"08",33,"KG",50000,50150,50000,16250,38575225,0,2750,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"198",1,6,1,2928001000,"08",33,"KG",36740,38180,36740,87508.48,206012354.2,50326.12,998.99,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"198",1,6,1,9603290000,"08",11,"U",9432,489.3,450.41,2994.72,7109046.02,2394.63,887.35,16.55,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"198",1,6,1,9615110000,"08",11,"U",427,447.45,411.89,1600.23,3798721.99,1118.35,474.16,8.85,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"198",1,6,1,9615900000,"08",11,"U",55,51.62,47.52,170.38,404458.27,154.42,50.48,0.94,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"198",1,6,2,9615110000,"08",11,"U",356,362.01,340.42,2055.44,4879326.8,0,0,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"002",2,8,2,9603290000,"08",11,"U",10,2.22,2,10,23738.6,0,0,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"002",2,8,2,9615110000,"08",11,"U",8,0.67,0.6,1.5,3560.79,0,0,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"043",1,"002",2,8,2,9615900000,"08",11,"U",9,1.11,1,2.5,5934.65,0,0,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"434",1,"198",1,6,2,2704001000,"15",33,"KG",3675000,3675000,3675000,573006,1347268897,0,0,0,0
501,"02",87,"BEL",2,"BAQ","08",1,"827",1,"198",1,6,1,2928001000,"08",33,"KG",89410,93730,89410,209015.14,489183214,120204.61,3968.58,78.58,0
501,"02",87,"BEL",2,"BAQ","25",1,"434",1,"198",1,8,2,2704001000,"25",33,"KG",12124000,12124000,12124000,1988336,4689768823,0,0,0,0
501,"02",87,"BEL",3,"BOG","08",4,"573",1,"198",1,8,1,9503900000,"08",11,"U",199580,577,539.66,4644.9,10979103.69,3122.92,1326.43,16.42,0
